collarId,holeName,surfaceX,surfaceY,surfaceZ
125471,b'71183HILL50 PROJECT TENEMENTSB',117.878,-27.7684,437.2
125472,b'71183HILL50 PROJECT TENEMENTSB',117.877,-27.7683,437.7
125473,b'71183HILL50 PROJECT TENEMENTSB',117.877,-27.7683,437.6
125474,b'71183HILL50 PROJECT TENEMENTSB',117.876,-27.7683,437.5
125475,b'71183HILL50 PROJECT TENEMENTSB',117.876,-27.7683,436.9
125476,b'71183HILL50 PROJECT TENEMENTSB',117.875,-27.7684,437.0
125477,b'71183HILL50 PROJECT TENEMENTSB',117.875,-27.7684,436.9
125478,b'71183HILL50 PROJECT TENEMENTSB',117.874,-27.7684,436.6
125479,b'71183HILL50 PROJECT TENEMENTSB',117.874,-27.7683,436.2
125480,b'71183HILL50 PROJECT TENEMENTSB',117.873,-27.7683,436.5
125481,b'71183HILL50 PROJECT TENEMENTSB',117.873,-27.7684,435.9
125482,b'71183HILL50 PROJECT TENEMENTSB',117.872,-27.7684,435.9
125483,b'71183HILL50 PROJECT TENEMENTSB',117.872,-27.7684,436.4
125484,b'71183HILL50 PROJECT TENEMENTSB',117.871,-27.7684,436.5
125485,b'71183HILL50 PROJECT TENEMENTSB',117.871,-27.7684,436.0
125486,b'71183HILL50 PROJECT TENEMENTSB',117.87,-27.7684,436.0
125487,b'71183HILL50 PROJECT TENEMENTSB',117.87,-27.7684,436.2
125488,b'71183HILL50 PROJECT TENEMENTSB',117.869,-27.7684,436.2
125489,b'71183HILL50 PROJECT TENEMENTSB',117.869,-27.7684,436.7
125490,b'71183HILL50 PROJECT TENEMENTSB',117.868,-27.7684,436.1
125491,b'71183HILL50 PROJECT TENEMENTSB',117.868,-27.7684,436.2
125492,b'71183HILL50 PROJECT TENEMENTSB',117.867,-27.7684,436.6
129019,b'67821Golden Crown / AustinGCAC',117.824,-27.5011,420.0
129020,b'67821Golden Crown / AustinGCAC',117.824,-27.5011,420.0
129021,b'67821Golden Crown / AustinGCAC',117.824,-27.5011,420.0
129022,b'67821Golden Crown / AustinGCAC',117.823,-27.5011,420.0
131837,b'67927SNAKE WELLRALA085',116.045,-27.9545,1000.0
131838,b'67927SNAKE WELLRALA086',116.045,-27.9547,1000.0
131839,b'67927SNAKE WELLRALA087',116.045,-27.9549,1000.0
131840,b'67927SNAKE WELLRALA088',116.045,-27.9551,1000.0
131841,b'67927SNAKE WELLRALA089',116.046,-27.954,1000.0
131842,b'67927SNAKE WELLRALA090',116.046,-27.9544,1000.0
131843,b'67927SNAKE WELLRALA091',116.045,-27.9541,1000.0
131844,b'67927SNAKE WELLRALA092',116.046,-27.9543,1000.0
131845,b'67927SNAKE WELLRALA093',116.046,-27.9545,1000.0
131846,b'67927SNAKE WELLRALA094',116.046,-27.9547,1000.0
131847,b'67927SNAKE WELLRALA095',116.046,-27.9536,1000.0
131848,b'67927SNAKE WELLRALA096',116.046,-27.9538,1000.0
131849,b'67927SNAKE WELLRALA097',116.047,-27.954,1000.0
131850,b'67927SNAKE WELLRALA098',116.047,-27.9542,1000.0
131851,b'67927SNAKE WELLRALA099',116.047,-27.9534,1000.0
131852,b'67927SNAKE WELLRALA100',116.047,-27.9536,1000.0
131853,b'67927SNAKE WELLRALA101',116.047,-27.9538,1000.0
131854,b'67927SNAKE WELLRALA102',116.047,-27.9532,1000.0
131855,b'67927SNAKE WELLRALA103',116.04,-27.96,1000.0
131856,b'67927SNAKE WELLRALA104',116.039,-27.9556,1000.0
131857,b'67927SNAKE WELLRALA105',116.039,-27.9548,1000.0
131858,b'67927SNAKE WELLRALA106',116.041,-27.9559,1000.0
131859,b'67927SNAKE WELLRALA107',116.041,-27.9529,1000.0
